1.000000 0.001575
0.996656 0.002160
0.993311 0.002743
0.989967 0.003324
0.986622 0.003902
0.983278 0.004478
0.979933 0.005051
0.976589 0.005623
0.973244 0.006191
0.969900 0.006758
0.966555 0.007322
0.963211 0.007884
0.959866 0.008444
0.956522 0.009001
0.953177 0.009557
0.949833 0.010110
0.946488 0.010660
0.943144 0.011209
0.939799 0.011756
0.936455 0.012300
0.933110 0.012842
0.929766 0.013382
0.926421 0.013920
0.923077 0.014456
0.919732 0.014990
0.916388 0.015521
0.913043 0.016051
0.909699 0.016578
0.906355 0.017104
0.903010 0.017627
0.899666 0.018149
0.896321 0.018668
0.892977 0.019185
0.889632 0.019700
0.886288 0.020214
0.882943 0.020725
0.879599 0.021234
0.876254 0.021742
0.872910 0.022247
0.869565 0.022751
0.866221 0.023252
0.862876 0.023752
0.859532 0.024249
0.856187 0.024745
0.852843 0.025239
0.849498 0.025731
0.846154 0.026221
0.842809 0.026709
0.839465 0.027195
0.836120 0.027679
0.832776 0.028161
0.829431 0.028642
0.826087 0.029120
0.822742 0.029597
0.819398 0.030072
0.816054 0.030545
0.812709 0.031016
0.809365 0.031485
0.806020 0.031952
0.802676 0.032418
0.799331 0.032882
0.795987 0.033343
0.792642 0.033803
0.789298 0.034261
0.785953 0.034717
0.782609 0.035172
0.779264 0.035624
0.775920 0.036075
0.772575 0.036524
0.769231 0.036970
0.765886 0.037415
0.762542 0.037859
0.759197 0.038300
0.755853 0.038739
0.752508 0.039177
0.749164 0.039613
0.745819 0.040046
0.742475 0.040478
0.739130 0.040908
0.735786 0.041337
0.732441 0.041763
0.729097 0.042187
0.725753 0.042610
0.722408 0.043030
0.719064 0.043449
0.715719 0.043866
0.712375 0.044281
0.709030 0.044694
0.705686 0.045105
0.702341 0.045514
0.698997 0.045921
0.695652 0.046326
0.692308 0.046729
0.688963 0.047130
0.685619 0.047530
0.682274 0.047927
0.678930 0.048322
0.675585 0.048715
0.672241 0.049107
0.668896 0.049496
0.665552 0.049883
0.662207 0.050268
0.658863 0.050651
0.655518 0.051032
0.652174 0.051411
0.648829 0.051788
0.645485 0.052163
0.642140 0.052535
0.638796 0.052906
0.635452 0.053274
0.632107 0.053640
0.628763 0.054004
0.625418 0.054366
0.622074 0.054725
0.618729 0.055083
0.615385 0.055438
0.612040 0.055791
0.608696 0.056141
0.605351 0.056490
0.602007 0.056836
0.598662 0.057179
0.595318 0.057521
0.591973 0.057860
0.588629 0.058196
0.585284 0.058530
0.581940 0.058862
0.578595 0.059192
0.575251 0.059519
0.571906 0.059843
0.568562 0.060165
0.565217 0.060484
0.561873 0.060801
0.558528 0.061116
0.555184 0.061427
0.551839 0.061736
0.548495 0.062043
0.545151 0.062347
0.541806 0.062648
0.538462 0.062946
0.535117 0.063242
0.531773 0.063535
0.528428 0.063825
0.525084 0.064113
0.521739 0.064397
0.518395 0.064679
0.515050 0.064958
0.511706 0.065233
0.508361 0.065506
0.505017 0.065776
0.501672 0.066043
0.498328 0.066307
0.494983 0.066568
0.491639 0.066825
0.488294 0.067080
0.484950 0.067331
0.481605 0.067579
0.478261 0.067824
0.474916 0.068066
0.471572 0.068304
0.468227 0.068539
0.464883 0.068771
0.461538 0.068999
0.458194 0.069224
0.454849 0.069445
0.451505 0.069662
0.448161 0.069877
0.444816 0.070087
0.441472 0.070294
0.438127 0.070497
0.434783 0.070696
0.431438 0.070892
0.428094 0.071084
0.424749 0.071272
0.421405 0.071456
0.418060 0.071636
0.414716 0.071812
0.411371 0.071984
0.408027 0.072152
0.404682 0.072315
0.401338 0.072475
0.397993 0.072630
0.394649 0.072781
0.391304 0.072928
0.387960 0.073070
0.384615 0.073208
0.381271 0.073341
0.377926 0.073470
0.374582 0.073594
0.371237 0.073713
0.367893 0.073828
0.364548 0.073938
0.361204 0.074043
0.357860 0.074143
0.354515 0.074238
0.351171 0.074327
0.347826 0.074412
0.344482 0.074492
0.341137 0.074566
0.337793 0.074635
0.334448 0.074699
0.331104 0.074757
0.327759 0.074810
0.324415 0.074857
0.321070 0.074898
0.317726 0.074933
0.314381 0.074963
0.311037 0.074987
0.307692 0.075004
0.304348 0.075016
0.301003 0.075021
0.297659 0.075020
0.294314 0.075013
0.290970 0.074999
0.287625 0.074979
0.284281 0.074952
0.280936 0.074918
0.277592 0.074877
0.274247 0.074830
0.270903 0.074775
0.267559 0.074713
0.264214 0.074644
0.260870 0.074567
0.257525 0.074483
0.254181 0.074391
0.250836 0.074292
0.247492 0.074184
0.244147 0.074069
0.240803 0.073945
0.237458 0.073813
0.234114 0.073672
0.230769 0.073523
0.227425 0.073365
0.224080 0.073199
0.220736 0.073023
0.217391 0.072838
0.214047 0.072643
0.210702 0.072439
0.207358 0.072225
0.204013 0.072001
0.200669 0.071767
0.197324 0.071523
0.193980 0.071268
0.190635 0.071002
0.187291 0.070725
0.183946 0.070437
0.180602 0.070138
0.177258 0.069827
0.173913 0.069503
0.170569 0.069168
0.167224 0.068819
0.163880 0.068458
0.160535 0.068084
0.157191 0.067696
0.153846 0.067294
0.150502 0.066878
0.147157 0.066447
0.143813 0.066002
0.140468 0.065541
0.137124 0.065063
0.133779 0.064570
0.130435 0.064059
0.127090 0.063532
0.123746 0.062986
0.120401 0.062421
0.117057 0.061838
0.113712 0.061234
0.110368 0.060610
0.107023 0.059964
0.103679 0.059296
0.100334 0.058605
0.096990 0.057890
0.093645 0.057149
0.090301 0.056382
0.086957 0.055588
0.083612 0.054764
0.080268 0.053910
0.076923 0.053024
0.073579 0.052103
0.070234 0.051147
0.066890 0.050152
0.063545 0.049116
0.060201 0.048036
0.056856 0.046909
0.053512 0.045731
0.050167 0.044497
0.046823 0.043202
0.043478 0.041841
0.040134 0.040406
0.036789 0.038887
0.033445 0.037275
0.030100 0.035555
0.026756 0.033710
0.023411 0.031717
0.020067 0.029543
0.016722 0.027142
0.013378 0.024444
0.010033 0.021330
0.006689 0.017568
0.003344 0.012559
0.000000 0.000000
0.003344 -0.012559
0.006689 -0.017568
0.010033 -0.021330
0.013378 -0.024444
0.016722 -0.027142
0.020067 -0.029543
0.023411 -0.031717
0.026756 -0.033710
0.030100 -0.035555
0.033445 -0.037275
0.036789 -0.038887
0.040134 -0.040406
0.043478 -0.041841
0.046823 -0.043202
0.050167 -0.044497
0.053512 -0.045731
0.056856 -0.046909
0.060201 -0.048036
0.063545 -0.049116
0.066890 -0.050152
0.070234 -0.051147
0.073579 -0.052103
0.076923 -0.053024
0.080268 -0.053910
0.083612 -0.054764
0.086957 -0.055588
0.090301 -0.056382
0.093645 -0.057149
0.096990 -0.057890
0.100334 -0.058605
0.103679 -0.059296
0.107023 -0.059964
0.110368 -0.060610
0.113712 -0.061234
0.117057 -0.061838
0.120401 -0.062421
0.123746 -0.062986
0.127090 -0.063532
0.130435 -0.064059
0.133779 -0.064570
0.137124 -0.065063
0.140468 -0.065541
0.143813 -0.066002
0.147157 -0.066447
0.150502 -0.066878
0.153846 -0.067294
0.157191 -0.067696
0.160535 -0.068084
0.163880 -0.068458
0.167224 -0.068819
0.170569 -0.069168
0.173913 -0.069503
0.177258 -0.069827
0.180602 -0.070138
0.183946 -0.070437
0.187291 -0.070725
0.190635 -0.071002
